city,city_development_index,relevent_experience,education_level,experience,company_size,last_new_job,training_hours,target,gender_Male,gender_Other,gender_Unknown,enrolled_university_Part time course,enrolled_university_Unknown,enrolled_university_no_enrollment,major_discipline_Business Degree,major_discipline_Humanities,major_discipline_No Major,major_discipline_Other,major_discipline_STEM,major_discipline_Unknown,company_type_Funded Startup,company_type_NGO,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd,company_type_Unknown,training_intensity,edu_vs_exp_ratio,career_stability,seniority_score,edu_exp_interaction,stem_flag
0.21253034581309455,0.92,1,2.0,21.0,3.0,1.0,36,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6363636363636365,0.09090909090909091,1.5,19.32,42.0,1
0.17154927437716805,0.7759999999999999,0,2.0,15.0,2.0,5.0,47,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.9375,0.125,0.3333333333333333,11.639999999999999,30.0,1
0.5890990651932976,0.624,0,2.0,5.0,3.0,0.0,83,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.833333333333334,0.3333333333333333,3.0,3.12,10.0,1
0.3770842347942151,0.789,0,2.0,0.0,3.0,0.0,52,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,2.0,3.0,0.0,0.0,0
0.3017459584078402,0.767,1,3.0,21.0,2.0,4.0,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.13636363636363635,0.4,16.107,63.0,1
0.2876909510081897,0.764,1,2.0,11.0,3.0,1.0,24,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.16666666666666666,1.5,8.404,22.0,1
0.24164557530227906,0.92,1,1.0,5.0,2.0,1.0,24,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.16666666666666666,1.0,4.6000000000000005,5.0,0
0.26693011051718696,0.762,1,2.0,13.0,0.0,5.0,18,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2857142857142858,0.14285714285714285,0.0,9.906,26.0,1
0.21253034581309455,0.92,1,2.0,7.0,2.0,1.0,46,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.75,0.25,1.0,6.44,14.0,1
0.21253034581309455,0.92,1,2.0,17.0,7.0,5.0,123,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.833333333333333,0.1111111111111111,1.1666666666666667,15.64,34.0,1
0.5890990651932976,0.624,0,1.0,2.0,3.0,0.0,32,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.666666666666666,0.3333333333333333,3.0,1.248,2.0,0
0.21253034581309455,0.92,1,2.0,5.0,6.0,1.0,108,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.3333333333333333,3.0,4.6000000000000005,10.0,1
0.11208364474709248,0.913,1,2.0,21.0,5.0,3.0,23,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0454545454545454,0.09090909090909091,1.25,19.173000000000002,42.0,1
0.5890990651932976,0.624,0,2.0,2.0,3.0,0.0,24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.6666666666666666,3.0,1.248,4.0,0
0.5890990651932976,0.624,0,1.0,5.0,3.0,0.0,26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.333333333333333,0.16666666666666666,3.0,3.12,5.0,0
0.1021397400963342,0.926,1,2.0,16.0,1.0,5.0,18,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0588235294117647,0.11764705882352941,0.16666666666666666,14.816,32.0,1
0.21253034581309455,0.92,1,2.0,1.0,2.0,0.0,106,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,1.0,2.0,0.92,2.0,1
0.5890990651932976,0.624,1,2.0,2.0,6.0,2.0,7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.3333333333333335,0.6666666666666666,2.0,1.248,4.0,1
0.5890990651932976,0.624,1,2.0,7.0,7.0,0.0,23,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.875,0.25,7.0,4.368,14.0,1
0.16654512516216194,0.8270000000000001,1,2.0,4.0,3.0,1.0,132,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.4,0.4,1.5,3.3080000000000003,8.0,0
0.16104223759189176,0.843,1,3.0,11.0,3.0,1.0,68,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.666666666666667,0.25,1.5,9.273,33.0,1
0.1021397400963342,0.926,1,3.0,11.0,3.0,2.0,50,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.166666666666667,0.25,1.0,10.186,33.0,1
0.1837699659417797,0.804,1,3.0,10.0,3.0,1.0,48,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.363636363636363,0.2727272727272727,1.5,8.040000000000001,30.0,1
0.17154927437716805,0.7759999999999999,1,2.0,0.0,5.0,1.0,65,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,2.0,2.5,0.0,0.0,0
0.5890990651932976,0.624,1,2.0,5.0,5.0,1.0,13,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1666666666666665,0.3333333333333333,2.5,3.12,10.0,1
0.13023473776826403,0.855,0,1.0,4.0,3.0,0.0,22,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.4,0.2,3.0,3.42,4.0,0
0.5890990651932976,0.624,1,2.0,14.0,4.0,1.0,148,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.866666666666667,0.13333333333333333,2.0,8.736,28.0,1
