city,city_development_index,relevent_experience,company_size,last_new_job,training_hours,enrolled_university_no_enrollment,major_discipline_STEM,major_discipline_Unknown,company_type_Funded Startup,company_type_Public Sector,company_type_Unknown,career_stability,edu_exp_interaction,stem_flag,target
0.21253034581309455,0.92,1,3.0,1.0,36,1.0,1.0,0.0,0.0,0.0,1.0,1.5,42.0,1,1.0
0.17154927437716805,0.7759999999999999,0,2.0,5.0,47,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,30.0,1,0.0
0.5890990651932976,0.624,0,3.0,0.0,83,0.0,1.0,0.0,0.0,0.0,1.0,3.0,10.0,1,0.0
0.3770842347942151,0.789,0,3.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1.0
0.3017459584078402,0.767,1,2.0,4.0,8,1.0,1.0,0.0,1.0,0.0,0.0,0.4,63.0,1,0.0
0.2876909510081897,0.764,1,3.0,1.0,24,0.0,1.0,0.0,0.0,0.0,1.0,1.5,22.0,1,1.0
0.24164557530227906,0.92,1,2.0,1.0,24,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0,0.0
0.26693011051718696,0.762,1,0.0,5.0,18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,1,1.0
0.21253034581309455,0.92,1,2.0,1.0,46,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,1,1.0
0.21253034581309455,0.92,1,7.0,5.0,123,1.0,1.0,0.0,0.0,0.0,0.0,1.1666666666666667,34.0,1,0.0
0.5890990651932976,0.624,0,3.0,0.0,32,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0,1.0
0.21253034581309455,0.92,1,6.0,1.0,108,1.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0,1,0.0
0.11208364474709248,0.913,1,5.0,3.0,23,1.0,1.0,0.0,0.0,0.0,0.0,1.25,42.0,1,0.0
0.5890990651932976,0.624,0,3.0,0.0,24,0.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,0,0.0
0.5890990651932976,0.624,0,3.0,0.0,26,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,0,0.0
0.1021397400963342,0.926,1,1.0,5.0,18,1.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,32.0,1,0.0
0.21253034581309455,0.92,1,2.0,0.0,106,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1,0.0
0.5890990651932976,0.624,1,6.0,2.0,7,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1,0.0
0.5890990651932976,0.624,1,7.0,0.0,23,1.0,1.0,0.0,0.0,0.0,0.0,7.0,14.0,1,1.0
0.16654512516216194,0.8270000000000001,1,3.0,1.0,132,1.0,0.0,0.0,0.0,0.0,1.0,1.5,8.0,0,1.0
0.16104223759189176,0.843,1,3.0,1.0,68,1.0,1.0,0.0,0.0,0.0,0.0,1.5,33.0,1,0.0
0.1021397400963342,0.926,1,3.0,2.0,50,1.0,1.0,0.0,0.0,0.0,0.0,1.0,33.0,1,0.0
0.1837699659417797,0.804,1,3.0,1.0,48,1.0,1.0,0.0,0.0,0.0,1.0,1.5,30.0,1,0.0
0.17154927437716805,0.7759999999999999,1,5.0,1.0,65,1.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0,0.0
0.5890990651932976,0.624,1,5.0,1.0,13,1.0,1.0,0.0,0.0,0.0,0.0,2.5,10.0,1,0.0
0.13023473776826403,0.855,0,3.0,0.0,22,1.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,0,0.0
0.5890990651932976,0.624,1,4.0,1.0,148,0.0,1.0,0.0,0.0,0.0,0.0,2.0,28.0,1,1.0
0.21253034581309455,0.92,1,3.0,2.0,72,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0,0.0
0.2325817451446533,0.887,1,0.0,1.0,8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0,1.0
0.5890990651932976,0.624,1,2.0,2.0,68,1.0,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,36.0,1,1.0
0.21253034581309455,0.92,1,3.0,3.0,40,1.0,1.0,0.0,0.0,0.0,0.0,0.75,42.0,1,0.0
0.21253034581309455,0.92,1,6.0,5.0,141,0.0,1.0,0.0,0.0,0.0,0.0,1.0,38.0,1,0.0
0.21253034581309455,0.92,0,3.0,1.0,24,0.0,1.0,0.0,0.0,0.0,1.0,1.5,10.0,1,0.0
0.24164557530227906,0.92,1,3.0,5.0,82,1.0,1.0,0.0,0.0,0.0,0.0,0.5,42.0,1,0.0
0.12121923798352167,0.91,1,6.0,3.0,145,1.0,0.0,0.0,0.0,0.0,0.0,1.5,24.0,0,0.0
0.21253034581309455,0.92,1,1.0,2.0,206,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,20.0,1,0.0
0.1021397400963342,0.926,0,7.0,1.0,152,0.0,0.0,1.0,0.0,0.0,0.0,3.5,1.0,0,0.0
0.1021397400963342,0.926,1,3.0,4.0,42,1.0,1.0,0.0,0.0,0.0,0.0,0.6,84.0,1,1.0
0.21253034581309455,0.92,0,3.0,4.0,50,1.0,1.0,0.0,0.0,0.0,1.0,0.6,24.0,1,0.0
0.1765770705654599,0.884,0,3.0,0.0,106,1.0,0.0,1.0,0.0,0.0,1.0,3.0,6.0,0,0.0
0.1021397400963342,0.926,1,5.0,2.0,14,0.0,1.0,0.0,0.0,1.0,0.0,1.6666666666666667,48.0,1,0.0
0.09681344420264924,0.924,1,1.0,2.0,36,1.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,4.0,0,0.0
0.5890990651932976,0.624,1,2.0,1.0,112,1.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,1,1.0
